Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Prolíngua,,1983-9979,Portuguese,Universidade Federal da Paraíba,No,CC BY-NC-SA,No
Проблеми Законності,2224-9281,2414-990X,"Ukrainian, Russian, English",Yaroslav Mudryi National Law University,No,CC BY,Yes
Enlightening Tourism: A Pathmaking Journal,,2174-548X,English,University of Huelva,No,CC BY-NC,No
Scientific Journals of the Maritime University of Szczecin,1733-8670,2392-0378,English,MUS,No,CC BY,Yes
"Fronteiras: Journal of Social, Technological and Environmental Science",,2238-8869,Portuguese,Centro Universitário de Anápolis,No,CC BY-NC,No
Semina: Ciências Agrárias,1676-546X,1679-0359,"Portuguese, English",Universidade Estadual de Londrina,No,Publisher's own license,Yes
Raízes Jurídicas,,1981-3872,Portuguese,Universidade Positivo,No,CC BY,No
International Journal of Critical Pedagogy,,2157-1074,English,University of North Carolina at Greensboro,No,Publisher's own license,No
Iheringia: Série Zoologia,0073-4721,1678-4766,"English, Portuguese, Spanish",Fundação Zoobotânica do Rio Grande do Sul,No,CC BY,No
INDEX Revista de Arte Contemporáneo,1390-4825,2477-9199,Spanish,Pontificia Universidad Católica del Ecuador,No,CC BY-NC,No
Jurnal Ilmiah Ilmu-Ilmu Peternakan,1410-7791,2528-0805,Indonesian,Universitas Jambi,No,CC BY,Yes
Research in Corpus Linguistics,,2243-4712,English,Asociación Española de Lingüística de Corpus,No,CC BY,No
Survey Methods - Insights from the Field,,2296-4754,English,FORS,No,CC BY,No
Concrete Operators,,2299-3282,English,De Gruyter,No,CC BY,Yes
Cuadernos de Lingüística de El Colegio de México,,2007-736X,"English, Spanish","El Colegio de México, A.C.",No,CC BY,No
"Revista de Sociologia, Antropologia e Cultura Jurídica",,2526-0251,Portuguese,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),No,CC BY-NC,No
Argumentos,,2525-0469,Spanish,"Centro de Perfeccionamiento ""Ricardo C. Nuñez"" del Poder Judicial de la Provincia de Córdoba",No,CC BY-NC,No
Revista Colombiana de Biotecnología,0123-3475,1909-8758,Spanish,Universidad Nacional de Colombia,No,CC BY,No
Kandai,1907-204X,2527-5968,"English, Indonesian",Kantor Bahasa Provinsi Sulawesi Tenggara,No,CC BY-NC-SA,No
Jurnal Psikologi Teori dan Terapan,2087-1708,2597-9035,"English, Indonesian",Universitas Negeri Surabaya,No,CC BY-NC,No
Journal of Applied Research on Children,,2155-5834,English,Children at Risk,No,CC BY-NC-ND,No
Clinical and Experimental Otorhinolaryngology,1976-8710,2005-0720,English,Korean Society of Otorhinolaryngology-Head and Neck Surgery,No,CC BY-NC,Yes
Jurnal Iqra': Kajian Ilmu Pendidikan,2527-4449,2548-7892,"English, Indonesian",IAI Ma'arif NUMetro Lampung,No,CC BY-SA,No
Cadernos de História,2237-8871,1679-5636,"Portuguese, Spanish",Pontifícia Universidade Católica de Minas Gerais,No,CC BY,No
Tecnura,0123-921X,2248-7638,Spanish,Universidad Distrital Francisco Jose de Caldas,No,CC BY-SA,No
Tate Papers,,1753-9854,English,Tate,No,CC BY-NC-ND,No
Revista Ciencias Veterinarias,,2215-4507,"English, Spanish","Universidad Nacional, Costa Rica",No,CC BY-NC-ND,No
Indonesian Journal of History Education,2252-6641,2549-0354,Indonesian,Universitas Negeri Semarang,No,CC BY,No
Revista da SBEnBIO,1982-1867,2763-8898,Portuguese,Marco Antonio Leandro Barzano,No,CC BY,No
Téssera,,2595-8925,Portuguese,Enivalda Nunes Freitas e Souza,No,CC BY-NC-ND,No
Półrocznik Językoznawczy Tertium,,2543-7844,"English, Polish",Cracow Tertium Society for the Promotion of Language Studies,No,CC BY-NC-ND,No
Colloquium Agrariae,,1809-8215,Portuguese,"University of Western Sao Paulo, UNOESTE",No,CC BY-NC-ND,No
Phytopathologia Mediterranea,0031-9465,1593-2095,English,Firenze University Press,Yes,CC BY,Yes
ORiON,0259-191X,2224-0004,English,Operations Research Society of South Africa (ORSSA),No,CC BY,No
Journal of Human Security,,1835-3800,English,Librelloph,Yes,CC BY,No
Ciceroniana On Line,,2532-5353,"English, French, German, Italian, Spanish",Università degli Studi di Torino,No,CC BY-SA,No
EQA,2039-9898,2281-4485,English,University of Bologna,Yes,CC BY-NC,No
Iluminuras,,1984-1191,Portuguese,Universidade Federal do Rio Grande do Sul,No,CC BY-NC,No
Learning and Teaching,1755-2273,1755-2281,English,Berghahn Books,No,"CC BY, CC BY-ND, CC BY-NC-ND",No
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriâ 2. Âzykoznanie,1998-9911,2409-1979,"English, Russian",Volgograd State University,No,CC BY,No
Telfor Journal,1821-3251,2334-9905,English,"Telecommunications Society, Academic Mind",No,Publisher's own license,No
ITB Journal of Information and Communication Technology,1978-3086,,English,ITB Journal Publisher,No,CC BY-ND,Yes
Zephyrus,0514-7336,2386-3943,"English, Spanish",Ediciones Universidad de Salamanca,No,CC BY-NC-ND,No
Phonica,,1699-8774,"Catalan, English, French, Galician, Italian, Portuguese, Spanish",Universitat de Barcelona,No,CC BY,No
Revista Pegada Eletrônica,1676-1871,1676-3025,"Portuguese, Spanish",Universidade Estadual Paulista Júlio de Mesquita Filho,No,CC BY,No
Rivista Italiana di Acustica,,2385-2615,"Italian, English",Associazione Italiana di Acustica,No,CC BY,No
Austrian Law Journal,,2409-6911,"English, German","Brigitte Lurger, Elisabeth Staudegger, Stefan Storr",No,CC BY,No
Open Biology,,2046-2441,English,The Royal Society,Yes,CC BY,Yes
Cadernos de Letras da UFF,1413-053X,2447-4207,Portuguese,Universidade Federal Fluminense,No,CC BY-NC,No
Revista Baiana de Educação Matemática,,2675-5246,Portuguese,Universidade do Estado da Bahia,No,CC BY-NC-SA,No
Aspekti Publìčnogo Upravlìnnâ,2311-6420,2413-8231,"Ukrainian, Russian",Grani,No,CC BY,No
Jurnal Smart,2356-2048,2356-203X,English,Universitas Muhammadiyah Pringsewu,No,CC BY-SA,Yes
